Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg), activity
9.7503538,0.466760,0.878728,0.255528,1.027289,75.597023,62.023819,dribble
9.7602243,0.416240,0.884708,0.254064,1.010203,75.433861,64.803825,dribble
9.7705517,0.367062,0.895812,0.215259,0.991741,77.464111,67.718460,dribble
9.7801094,0.330698,0.903622,0.158271,0.975163,80.659447,69.898941,dribble
9.7904434,0.312393,0.888246,0.123737,0.949675,82.513412,70.623398,dribble
9.8002214,0.310929,0.846268,0.118978,0.909397,82.482346,69.826080,dribble
9.8100510,0.313492,0.801240,0.135574,0.871001,81.045341,68.631683,dribble
9.8201599,0.314956,0.792820,0.155098,0.867073,79.695717,68.334038,dribble
9.8298635,0.325572,0.835530,0.157417,0.910433,80.043327,68.711143,dribble
9.8400393,0.350832,0.907527,0.142529,0.983363,81.666153,68.864464,dribble
9.8504486,0.389271,0.992581,0.124103,1.073383,83.360687,68.585831,dribble
9.8599958,0.420999,1.050178,0.080295,1.134267,85.940636,68.154984,dribble
9.8701754,0.400498,1.061893,0.022209,1.135125,88.878914,69.335800,dribble
9.8800211,0.337653,1.067384,-0.029043,1.119894,91.486046,72.445908,dribble
9.8902321,0.252233,1.094597,-0.057598,1.124758,92.935333,77.023575,dribble
9.9005337,0.185728,1.166594,-0.058086,1.182713,92.815056,80.954140,dribble
9.9102402,0.125445,1.218456,-0.066262,1.226687,93.096436,84.121857,dribble
9.9205046,0.074559,1.226632,-0.094816,1.232548,94.411949,86.521614,dribble
9.9301167,0.031117,1.158906,-0.100430,1.163665,94.951042,88.461945,dribble
9.9400873,0.030873,1.035413,-0.083956,1.039270,94.633591,88.292099,dribble
9.9509525,0.094084,0.931200,-0.056011,0.937616,93.424767,84.230682,dribble
9.9602509,0.218553,0.868844,-0.028677,0.896369,91.833328,75.880478,dribble
9.9703703,0.373164,0.836506,-0.011227,0.916035,90.702217,65.958458,dribble
9.9808760,0.506541,0.840045,-0.005247,0.980962,90.306480,58.910339,dribble
9.9901295,0.591473,0.865671,0.018304,1.048600,88.999794,55.657024,dribble
10.0008411,0.636257,0.896544,0.041490,1.100153,87.838707,54.637539,dribble
10.0102406,0.650535,0.919730,0.045395,1.127457,87.692482,54.727825,dribble
10.0202007,0.623444,0.947186,0.049056,1.135011,87.522888,56.646820,dribble
10.0305758,0.550593,0.985747,0.079807,1.131910,85.956932,60.814278,dribble
