Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg), activity
8.0501986,1.189535,1.120955,0.283106,1.658820,80.173378,43.299843,dribble
8.0601139,1.306682,1.673622,0.432103,2.166828,78.497108,52.019028,dribble
8.0701294,1.338898,2.718310,0.472129,3.066718,81.143951,63.777538,dribble
8.0802689,0.954142,3.837800,0.475301,3.983090,83.146576,76.038368,dribble
8.0900803,-0.054303,3.961049,0.502148,3.993121,82.775742,90.785431,dribble
8.1000719,-1.395641,2.776395,0.379143,3.130485,83.043648,116.687813,dribble
8.1110039,-2.037512,1.207351,-0.102870,2.370598,92.487083,149.350647,dribble
8.1208544,-1.437619,0.486406,-0.151315,1.525200,95.693695,161.307190,dribble
8.1299686,-1.437619,0.486406,-0.151315,1.525200,95.693695,161.307190,dribble
8.1400204,-0.337409,0.858471,-0.200859,0.944014,102.284813,111.456558,dribble
8.1499586,0.110436,1.166716,-0.400620,1.238514,108.872795,84.592758,dribble
8.1601696,0.439669,1.387954,-0.586958,1.569791,111.956848,72.423096,dribble
8.1707249,0.650535,1.492898,-0.641748,1.750366,111.508347,66.454697,dribble
8.1807861,0.711061,1.509372,-0.592571,1.770579,109.552856,64.775009,dribble
8.1901617,0.680066,1.465198,-0.496168,1.689816,107.074974,65.101822,dribble
8.2003078,0.606360,1.345488,-0.401352,1.529409,105.213882,65.740715,dribble
8.2101154,0.533631,1.165129,-0.267609,1.309161,101.795105,65.392143,dribble
8.2201948,0.505687,1.025773,-0.090301,1.147207,94.514648,63.757572,dribble
8.2302752,0.452604,0.918998,0.097135,1.029001,84.583374,63.779861,dribble
8.2408752,0.367916,0.859570,0.298482,0.981486,72.295227,66.827919,dribble
8.2504263,0.277737,0.840533,0.403549,0.972875,65.493263,71.714905,dribble
8.2601681,0.168277,0.824303,0.452116,0.955093,61.746468,78.461891,dribble
8.2702913,0.077854,0.803436,0.450164,0.924240,60.852226,84.465233,dribble
8.2803984,0.045761,0.805755,0.392932,0.897625,64.039818,86.749527,dribble
8.2913132,0.087861,0.836018,0.302143,0.893273,70.230164,84.000572,dribble
8.3001137,0.205984,0.890443,0.210133,0.937803,77.051811,76.974991,dribble
8.3104563,0.341924,0.921560,0.145580,0.993669,81.575409,69.643761,dribble
8.3201313,0.417094,0.940231,0.148997,1.039327,81.757736,66.077545,dribble
8.3303690,0.400864,0.949261,0.184995,1.046906,79.821999,67.106117,dribble
8.3402634,0.341070,0.939864,0.200127,1.019669,78.681274,70.054527,dribble
8.3504591,0.262239,0.911432,0.159735,0.961765,80.439690,73.948280,dribble
8.3600874,0.185972,0.875433,0.073705,0.897999,85.292023,78.006729,dribble
8.3702841,0.134720,0.858471,-0.007078,0.869007,90.466652,81.081329,dribble
8.3803196,0.087617,0.845658,-0.037707,0.851021,92.539482,84.084831,dribble
8.3902359,0.038927,0.829184,-0.025870,0.830501,91.785049,87.312149,dribble
8.4006004,0.000610,0.801484,-0.005613,0.801504,90.401276,89.956383,dribble
8.4104090,-0.034778,0.761459,0.003417,0.762260,89.743172,92.615059,dribble
8.4212074,-0.050154,0.726925,0.025504,0.729099,87.995377,93.946838,dribble
8.4305811,-0.031361,0.717284,0.050886,0.719771,85.945953,92.503510,dribble
8.4401903,0.024406,0.738517,0.068214,0.742062,84.725647,88.107239,dribble
8.4501915,0.094572,0.779519,0.076756,0.788977,84.417122,83.082611,dribble
8.4604378,0.153146,0.816494,0.084932,0.835062,84.162506,79.376724,dribble
8.4703331,0.209767,0.834188,0.103358,0.866345,83.148079,75.884895,dribble
8.4803886,0.264558,0.831869,0.139357,0.883978,80.929642,72.357857,dribble
8.4901190,0.300557,0.816860,0.195734,0.892136,77.326248,69.799339,dribble
8.5002747,0.324962,0.801118,0.252843,0.900733,73.697510,67.920753,dribble
8.5102320,0.334480,0.797091,0.305560,0.916841,70.532364,67.235786,dribble
8.5202646,0.335335,0.803314,0.351320,0.938717,68.021667,67.342445,dribble
8.5300026,0.342534,0.850906,0.372553,0.990033,67.895081,68.072617,dribble
8.5404043,0.343511,0.917777,0.366696,1.046318,69.484337,69.479858,dribble
8.5517635,0.332528,0.938644,0.356690,1.057760,70.292870,70.492584,dribble
8.5607147,0.323010,0.913994,0.368771,1.037166,69.172478,70.536362,dribble
8.5704937,0.309587,0.868112,0.375482,0.995213,67.834190,70.372711,dribble
8.5808926,0.306292,0.833944,0.349612,0.954728,68.519150,69.832664,dribble
8.5902929,0.321179,0.825036,0.311905,0.938682,70.592796,68.729462,dribble
8.6002331,0.354615,0.841387,0.275541,0.953733,73.207443,67.146286,dribble
8.6102047,0.364622,0.872505,0.306292,0.993996,72.052711,67.319847,dribble
8.6204920,0.333626,0.962684,0.285669,1.058146,74.337448,70.885811,dribble
8.6313963,0.286645,0.975985,0.194636,1.035662,79.167786,73.632568,dribble
8.6405783,0.194148,0.956704,0.103602,0.981687,83.942017,78.528534,dribble
8.6509838,0.114707,0.931933,0.127520,0.947585,82.266037,82.983047,dribble
8.6601372,0.131547,0.899107,0.156441,0.922047,80.231560,81.676208,dribble
8.6701603,0.201713,0.851150,0.164251,0.890012,79.365189,76.667488,dribble
8.6808462,0.241007,0.803192,0.205862,0.863471,76.207130,73.297562,dribble
8.6901255,0.302753,0.766462,0.072973,0.827314,84.939659,68.445938,dribble
8.7008467,0.401352,0.704227,-0.116415,0.818885,98.173042,60.320385,dribble
8.7103605,0.497267,0.609289,-0.162542,0.803073,101.677345,50.780651,dribble
8.7202044,0.579514,0.533143,-0.086518,0.792189,96.270020,42.613533,dribble
8.7306557,0.609289,0.498243,0.033192,0.787769,87.585190,39.274406,dribble
8.7406425,0.614536,0.533143,0.119100,0.822241,81.671524,40.943394,dribble
8.7506638,0.633695,0.688730,0.174257,0.951989,79.452820,47.383083,dribble
8.7606239,0.640528,0.963904,0.243325,1.182622,78.126564,56.395386,dribble
8.7706890,0.603554,1.266535,0.340216,1.443653,76.369286,64.520370,dribble
8.7803726,0.507883,1.509494,0.368648,1.634754,76.967300,71.404015,dribble
8.7912083,0.468712,1.751965,0.222336,1.827158,83.010689,75.022141,dribble
8.8007660,0.496901,2.095109,0.193049,2.161865,84.876801,76.657593,dribble
8.8104706,0.266389,2.155514,0.281154,2.190034,82.624084,82.954842,dribble
8.8202448,-0.198052,1.947577,0.343511,1.987531,80.047432,95.806549,dribble
8.8304977,-0.715454,1.654220,0.192195,1.812528,83.913086,113.388588,dribble
8.8402462,-1.072510,1.329014,-0.078586,1.709599,92.634689,128.903412,dribble
8.8504143,-1.180017,1.118636,-0.198663,1.638064,96.965919,136.529587,dribble
8.8599930,-1.080930,1.079953,-0.232465,1.545557,98.650581,135.025879,dribble
8.8702259,-0.792576,1.116806,-0.310929,1.404318,102.791817,125.362595,dribble
8.8800287,-0.426856,1.166716,-0.345829,1.289585,105.555450,110.095619,dribble
8.8902845,-0.049910,1.251037,-0.299336,1.287318,103.445892,92.284584,dribble
8.9008007,0.283595,1.322424,-0.229170,1.371769,99.617012,77.896217,dribble
8.9100637,0.533143,1.349026,-0.147167,1.458003,95.793137,68.435783,dribble
8.9201479,0.677381,1.296798,-0.078708,1.465171,93.079391,62.419743,dribble
8.9301424,0.695563,1.176966,0.015376,1.367221,89.355644,59.417770,dribble
8.9400034,0.632840,1.046640,0.150583,1.232322,82.981209,58.841152,dribble
8.9501076,0.550959,0.973666,0.295919,1.157217,75.183952,60.496197,dribble
8.9600029,0.458095,0.952800,0.398423,1.129787,69.350304,64.322273,dribble
8.9701767,0.365110,0.953288,0.447479,1.114585,66.329529,69.043137,dribble
8.9802685,0.292991,0.962318,0.449553,1.101815,65.920013,73.066414,dribble
8.9902439,0.237590,0.961342,0.419290,1.075375,67.051620,76.117874,dribble
9.0006943,0.205130,0.950603,0.377679,1.043248,68.775574,77.822891,dribble
9.0104532,0.187680,0.952555,0.326915,1.024431,71.390388,78.853897,dribble
9.0200081,0.177308,0.981598,0.259433,1.030669,75.421097,79.760979,dribble
9.0302086,0.188168,1.031630,0.157661,1.060436,81.449814,79.662949,dribble
9.0401421,0.221970,1.083858,0.073339,1.108782,86.207466,78.426079,dribble
9.0511198,0.220994,1.094841,0.056621,1.118356,87.097931,78.588173,dribble
9.0602293,0.156685,1.068117,0.051862,1.080793,87.249588,81.654655,dribble
9.0699854,0.064675,1.032850,0.036853,1.035529,87.960518,86.416924,dribble
9.0811930,-0.023918,1.006980,0.027212,1.007632,88.452469,91.360626,dribble
9.0911713,-0.059062,0.992337,0.067238,0.996364,86.130562,93.406113,dribble
9.1009455,-0.113487,0.930956,0.114829,0.944852,83.019524,96.950249,dribble
9.1101189,-0.139113,0.915947,0.154488,0.939243,80.532875,98.635994,dribble
9.1201038,-0.124713,0.903988,0.179626,0.930061,78.864281,97.854881,dribble
9.1305962,-0.086030,0.879338,0.199517,0.905784,77.275116,95.587761,dribble
9.1402054,-0.035022,0.859448,0.216235,0.886924,75.888893,92.333496,dribble
9.1507845,0.030019,0.859936,0.229536,0.890549,75.063614,88.000702,dribble
9.1601448,0.099453,0.871650,0.277493,0.920146,72.447762,83.490829,dribble
9.1703548,0.140943,0.875433,0.326671,0.944967,69.775749,80.853973,dribble
9.1800900,0.154610,0.873969,0.349856,0.954005,68.486305,79.967834,dribble
9.1902084,0.147167,0.867257,0.353273,0.947943,68.119423,80.369118,dribble
9.2007399,0.126788,0.845902,0.334847,0.918558,68.621025,81.475700,dribble
9.2104578,0.107019,0.816494,0.329355,0.886899,68.200729,82.532715,dribble
9.2203188,0.088837,0.788183,0.335091,0.861052,67.097488,83.569275,dribble
9.2309685,0.081515,0.781471,0.321301,0.848868,67.758842,84.045021,dribble
9.2405062,0.068336,0.765364,0.273954,0.815783,70.377739,84.897835,dribble
9.2510824,0.072119,0.732050,0.215991,0.766648,73.636299,84.373581,dribble
9.2605047,0.071265,0.670425,0.191341,0.700828,74.155876,83.932373,dribble
9.2703619,0.035388,0.594035,0.220628,0.634671,69.657852,86.590767,dribble
9.2807560,-0.002074,0.562186,0.245156,0.613318,66.439308,90.211426,dribble
9.2910805,-0.019891,0.568165,0.251623,0.621709,66.125900,92.005028,dribble
9.3002777,-0.013423,0.585249,0.223923,0.626768,69.067657,91.313896,dribble
9.3100328,0.037585,0.613682,0.208181,0.649121,71.293999,86.495308,dribble
9.3206291,0.125567,0.621980,0.106653,0.643429,80.458778,78.586342,dribble
9.3303242,0.155464,0.606238,0.096647,0.633273,81.221527,75.616943,dribble
9.3403034,0.150339,0.564871,0.143140,0.601805,76.240303,75.096321,dribble
9.3507881,0.151560,0.509347,0.178894,0.560721,71.394958,73.429298,dribble
9.3605385,0.151071,0.444794,0.209035,0.514160,66.011292,71.240288,dribble
9.3706913,0.218431,0.407087,0.164373,0.490358,70.414726,61.783295,dribble
9.3802710,0.345219,0.426978,0.036243,0.550273,86.223602,51.043880,dribble
9.3902855,0.486894,0.473105,-0.068092,0.682298,95.727539,44.177071,dribble
9.4009809,0.620516,0.515083,-0.053082,0.808188,93.765945,39.695675,dribble
9.4101086,0.715454,0.598306,0.033192,0.933245,87.961792,39.904434,dribble
9.4202976,0.778665,0.704593,0.062113,1.051964,86.615036,42.141121,dribble
9.4305058,0.891297,0.838581,0.097867,1.227683,85.427711,43.254505,dribble
9.4401875,1.020647,1.042979,0.188168,1.471371,82.652534,45.619991,dribble
9.4503345,0.985259,1.358057,0.364866,1.717026,77.731186,54.039417,dribble
9.4605484,0.663226,1.525236,0.381828,1.706460,77.070366,66.498917,dribble
9.4702711,0.367672,1.608337,0.189510,1.660676,83.447334,77.123230,dribble
9.4807253,0.229048,1.662762,-0.033070,1.678789,91.128716,82.156792,dribble
9.4902878,0.268341,1.702788,-0.079197,1.725620,92.630486,81.044456,dribble
9.5001488,0.401596,1.953678,0.088959,1.996510,87.446213,78.384140,dribble
9.5104017,0.489457,2.414702,0.175721,2.470068,85.920517,78.541473,dribble
9.5201244,0.207449,2.665715,0.189510,2.680483,85.945801,85.550156,dribble
9.5304060,-0.474935,2.594085,0.356202,2.661150,82.307732,100.375038,dribble
9.5403042,-1.314492,2.024455,0.356934,2.440022,81.588417,122.995941,dribble
9.5502710,-1.837507,1.228462,0.071387,2.211481,88.150169,146.235367,dribble
9.5602217,-1.629326,0.806487,-0.069678,1.819335,92.194893,153.665421,dribble
9.5703239,-1.129985,0.687753,-0.100063,1.326606,94.325821,148.673660,dribble
9.5809956,-0.202690,0.720579,-0.358764,0.830078,115.607613,105.710602,dribble
9.5900202,-0.202690,0.884952,-0.358764,0.976183,111.562576,102.900528,dribble
9.6009121,0.251013,1.335115,-0.663470,1.511864,116.030029,79.352203,dribble
9.6101637,0.400132,1.439328,-0.795871,1.692684,118.046150,74.464111,dribble
9.6200409,0.582443,1.405282,-0.724972,1.685123,115.481461,67.487617,dribble
9.6313057,0.727779,1.248109,-0.393298,1.497371,105.227905,59.753315,dribble
9.6401920,0.760116,1.019915,0.007200,1.272028,89.675705,53.303795,dribble
9.6508970,0.764143,0.834310,0.279568,1.165395,76.119904,47.513474,dribble
9.6604595,0.780129,0.727413,0.363767,1.126968,71.168625,42.997272,dribble
9.6707973,0.760360,0.643213,0.320325,1.046173,72.170387,40.228935,dribble
9.6806593,0.698004,0.580734,0.305194,0.957917,71.421638,39.760220,dribble
9.6901331,0.613682,0.552302,0.353517,0.898118,66.820099,41.986580,dribble
9.7007179,0.523381,0.558647,0.405135,0.866111,62.110790,46.866768,dribble
9.7101679,0.469444,0.604896,0.380485,0.855012,63.576302,52.185883,dribble
9.7202454,0.465539,0.690194,0.302875,0.885905,70.008415,56.000141,dribble
9.7301178,0.482867,0.787329,0.257724,0.958890,74.408684,58.479286,dribble
9.7402840,0.491043,0.854444,0.240274,1.014362,76.297981,60.114323,dribble
